Class_Code,Instructor,Term_Name
ds_tech_bootcamp,Pete Alonzi,Fall 2021
stat6021,Jeffrey Woo,Fall 2021
ds5100,Judy Fox,Fall 2021
cs5012,Jeremy Bolton,Fall 2021
ds6030,Bill Basener,Fall 2021
ds_biz_analytics,Marc Ruggiano,Fall 2021
ds5110,Adam Tashman,Fall 2021
ds5001,Sree Mallikarjun,Fall 2021
ds6001,Eric Tassone,Fall 2021
ds6011,Jeremy Bolton,Fall 2021
ds6011,Peter Gedeck,Fall 2021
ds6011,Eric Tassone,Fall 2021
ds6011,Abbas Kazemipour,Fall 2021
ds6011,Cait Dreisbach,Fall 2021
ds6011,Lei Xie,Fall 2021
ds6040,Bill Basener,Fall 2021
ds6002,Renee Cummings,Fall 2021
ds6050,Stephen Baek,Fall 2021
ds6013,Raf Alvarado,Fall 2021
ds6013,Teague Henry,Fall 2021
ds_tech_bootcamp,Pete Alonzi,Summer 2021
stat6021,Jeffrey Woo,Summer 2021
ds5100,Nada Basit,Summer 2021
cs5012,Jeremy Bolton,Summer 2021
ds6030,Peter Gedeck,Summer 2021
ds5110,Adam Tashman,Summer 2021
ds5001,Sree Mallikarjun,Summer 2021
ds6001,Raf Alvarado,Summer 2021
ds6011,Teague Henry,Summer 2021
ds6011,Raf Alvarado,Summer 2021
ds6040,Teague Henry,Summer 2021
ds6002,Renee Cummings,Summer 2021
ds6050,Rich Nguyen,Summer 2021
ds6013,Jon Kropko,Summer 2021
ds6012,Renee Cummings,Summer 2021
ds6003,Jason Williamson,Summer 2021
ds_tech_bootcamp,Pete Alonzi,Spring 2021
stat6021,Jeffrey Woo,Spring 2021
ds5100,Judy Fox,Spring 2021
cs5012,Panagiotis Apostolellis,Spring 2021
ds6030,Mike Porter,Spring 2021
ds5110,Adam Tashman,Spring 2021
ds5001,Sree Mallikarjun,Spring 2021
ds6001,Jon Kropko,Spring 2021
ds6011,Jon Kropko,Spring 2021
ds6040,Bill Basener,Spring 2021
ds6002,Luis Felipe Rosado Murillo,Spring 2021
ds6050,Rich Nguyen,Spring 2021
ds6013,Raf Alvarado,Spring 2021
ds6003,Jason Williamson,Spring 2021
ds6012,Luis Felipe Rosado Murillo,Spring 2021
sarc5400,Eric Field,Spring 2021